"dataset","country","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"worldvaluessurvey_wave5","Australia_ballot_b",718,718,366,298,233,0,0,0,0
"worldvaluessurvey_wave5","Australia_ballot_a",703,703,366,298,228,0,0,0,0
"worldvaluessurvey_wave5","Argentina",1002,1002,366,298,223,0,0,0,0
"worldvaluessurvey_wave5","Andorra_ballot_b",711,711,366,298,231,5,4,2,0
"worldvaluessurvey_wave5","Andorra_ballot_a",292,292,366,298,226,0,0,0,0
"worldvaluessurvey_wave4","Zimbabwe",1002,1002,373,277,223,2,0,0,0
"worldvaluessurvey_wave4","Viet Nam",1000,1000,373,277,225,84,13,0,0
"worldvaluessurvey_wave4","Venezuela",1200,1200,373,277,167,42,25,5,0
"worldvaluessurvey_wave4","United States",1200,1200,373,277,220,2,2,0,0
"worldvaluessurvey_wave4","Uganda",1002,1002,373,277,224,18,10,2,0
"worldvaluessurvey_wave4","Turkey",3401,3401,373,277,142,6,2,0,0
"worldvaluessurvey_wave4","Tanzania",1171,1171,373,277,227,111,35,15,2
"worldvaluessurvey_wave4","Sweden",1015,1015,373,277,194,0,0,0,0
"worldvaluessurvey_wave4","Spain",1209,1209,373,277,224,20,16,6,0
"worldvaluessurvey_wave4","South Korea",1200,1200,373,277,202,23,18,8,2
"worldvaluessurvey_wave4","South Africa",3000,3000,373,277,220,22,12,2,0
"worldvaluessurvey_wave4","Singapore",1512,1512,373,277,173,12,2,2,2
"worldvaluessurvey_wave4","Serbia",1200,1200,373,277,222,4,4,2,0
"worldvaluessurvey_wave4","Saudi Arabia",1502,1502,373,277,139,89,69,34,4
"worldvaluessurvey_wave4","Puerto Rico",720,720,373,277,211,2,2,0,0
"worldvaluessurvey_wave4","Philippines",1200,1200,373,277,227,6,4,2,2
"worldvaluessurvey_wave4","Peru",1501,1501,373,277,211,19,6,0,0
"worldvaluessurvey_wave4","Pakistan",2000,2000,373,277,139,77,2,0,0
"worldvaluessurvey_wave4","Nigeria",2022,2022,373,277,165,107,73,49,10
"worldvaluessurvey_wave4","Morocco",1251,1251,373,277,189,10,4,0,0
"worldvaluessurvey_wave4","Montenegro",1060,1060,373,277,224,14,6,6,2
"worldvaluessurvey_wave4","Moldova",1008,1008,373,277,223,49,30,23,4
"worldvaluessurvey_wave4","Mexico",1535,1535,373,277,228,12,8,4,0
"worldvaluessurvey_wave4","Macedonia",1055,1055,373,277,223,27,14,4,0
"worldvaluessurvey_wave4","Kyrgyzstan",1043,1043,373,277,224,60,34,2,0
"worldvaluessurvey_wave4","Jordan",1223,1223,373,277,168,2,0,0,0
"worldvaluessurvey_wave4","Japan",1362,1362,373,277,214,0,0,0,0
"worldvaluessurvey_wave4","Israel",1199,1199,373,277,57,4,0,0,0
"worldvaluessurvey_wave4","Iraq",2325,2325,373,277,99,87,55,31,20
"worldvaluessurvey_wave4","Iran",2532,2532,373,277,159,301,227,30,0
"worldvaluessurvey_wave4","Indonesia",1000,1000,373,277,168,61,20,10,0
"worldvaluessurvey_wave4","India",2002,2002,373,277,222,395,290,221,26
"worldvaluessurvey_wave4","Egypt",3000,3000,373,277,159,18,18,2,0
"worldvaluessurvey_wave4","China",1000,1000,373,277,190,21,4,0,0
"worldvaluessurvey_wave4","Chile",1200,1200,373,277,222,290,266,220,27
